,企業名,キャッチコピー,ステータス,初年度年収
0,株式会社Success Holders | グロース上場◇年間休日122日◇資格取得奨励金◇リモート可,【エンジニア】入社即リーダーになれる／業界・経験年数不問 正社員,正社員,360万円～960万円
1,株式会社Success Holders | グロース上場◇年間休日122日◇資格取得奨励金◇リモート可,【PM／PL・ITコンサルタント】年収1000万円可_残業月10時間以内 正社員,正社員,360万円～960万円
2,データアナリティクスラボ株式会社 | Start up×IT×English◆住宅・資格手当あり◆年間休日120日以上,未経験からデータ分析を究める！【データアナリスト】 正社員,正社員,325万円～700万円
3,株式会社ビットエー | リモートワーク週3運用/リクルート等大手企業と直取引/住宅手当,チームで稼働【Webディレクター】残業1日平均1H以内 ☆土日祝休 正社員,正社員,420万円～840万円
4,株式会社キャンサースキャン | 実務未経験OK◆平均30代前半＆自由な社風◆フレックス制あり,ヘルスビックデータの【アナリティクス(データアナリスト)】 正社員,正社員,350万円～600万円
